x,y
0.512016592,0.766171237
0.617283571,0.310467629
0.868066151,0.543689517
0.845089918,0.118980202
0.005226367,0.581885246
0.767869822,0.732324882
0.332152148,0.622879879
0.393046369,0.560920611
0.08436016,0.084905921
0.703536379,0.921292113
0.214232363,0.921860421
0.408212608,0.521324518
0.559581388,0.756649731
0.277891057,0.769176771
0.399575041,0.93040596
0.572758071,0.288033486
0.799610334,0.340857363
0.827626054,0.743566974
0.260273131,0.878301542
0.727038567,0.528767648
0.062907284,0.075999803
0.135344442,0.358488594
0.010101962,0.889906588
0.604655665,0.190271192
0.184259985,0.517189935
0.741121005,0.338785248
0.836205893,0.265715871
0.67500123,0.645705474
0.485192919,0.905113255
0.422577805,0.456525185
0.337914183,0.917248548
0.550821607,0.190855682
0.611155309,0.031928514
0.728313854,0.153882777
0.024571208,0.097284548
0.958151733,0.057585592
0.026809202,0.146057372
0.71484468,0.396856589
0.229777662,0.521975877
0.218322775,0.399728017
0.440354397,0.324066162
0.596531825,0.427332593
0.504967252,0.245931513
0.606251186,0.455553644
0.861174342,0.337247757
0.640400809,0.591151698
0.9427948,0.706834015
0.009522628,0.468240165
0.703070404,0.524993442
0.103421226,0.974756438
0.516303203,0.330020606
0.807148106,0.573535752
0.423529712,0.983814746
0.545792013,0.87675827
0.434519027,0.541203396
0.436200618,0.848843869
0.715792612,0.427785489
0.238530169,0.077591784
0.89191406,0.536583706
0.384240819,0.985319584
0.270170136,0.671005773
0.671484548,0.005063618
0.653719477,0.73221437
0.057986178,0.450439716
0.471029569,0.212100449
0.762385969,0.489878374
0.526426401,0.800826352
0.514842489,0.887009788
0.788885123,0.583615939
0.976607784,0.321205141
0.959442753,0.458789385
0.664285394,0.892909274
0.574807607,0.792993514
0.297174327,0.301060623
0.66832024,0.615636064
0.397868304,0.314800257
0.405127327,0.806524837
0.050619439,0.543666887
0.198940859,0.461749804
0.707953275,0.663840867
0.238733996,0.234405187
0.182288547,0.700126431
0.537821675,0.022199405
0.313707104,0.475631676
0.338999019,0.52410241
0.979720362,0.025469524
0.626290889,0.524480872
0.233403159,0.506712671
0.370832012,0.275386392
0.686773199,0.163439876
0.847209247,0.577455821
0.192002074,0.255961728
0.098720819,0.942437829
0.590839349,0.72776858
0.216219743,0.327352405
0.401276742,0.466855053
0.374479809,0.783450458
0.971136868,0.675425728
0.438177405,0.295119977
0.147645975,0.097147525
